idx,date
0,2016-07-07
1,2016-07-21
2,2016-08-04
3,2016-08-18
4,2016-09-01
5,2016-09-15
6,2016-09-29
7,2016-10-13
8,2016-10-27
9,2016-11-10
10,2016-11-24
11,2016-12-08
12,2016-12-22
13,2017-01-05
14,2017-01-19
15,2017-02-02
16,2017-02-16
17,2017-03-02
18,2017-03-16
19,2017-03-30
20,2017-04-13
21,2017-04-27
22,2017-05-11
23,2017-05-25
24,2017-06-08
25,2017-06-22
26,2017-07-06
27,2017-07-20
28,2017-08-03
29,2017-08-17
30,2017-08-31
31,2017-09-14
32,2017-09-28
33,2017-10-12
34,2017-10-26
35,2017-11-09
36,2017-11-23
37,2017-12-07
38,2017-12-21
39,2018-01-04
40,2018-01-18
41,2018-02-01
42,2018-02-15
43,2018-03-01
44,2018-03-15
45,2018-03-29
46,2018-04-12
47,2018-04-26
48,2018-05-10
49,2018-05-24
50,2018-06-07
51,2018-06-21
52,2018-07-05
53,2018-07-19
54,2018-08-02
55,2018-08-16
56,2018-08-30
57,2018-09-13
58,2018-09-27
59,2018-10-11
60,2018-10-25
61,2018-11-08
62,2018-11-22
63,2018-12-06
64,2018-12-20
65,2019-01-03
66,2019-01-17
67,2019-01-31
68,2019-02-14
69,2019-02-28
70,2019-03-14
71,2019-03-28
72,2019-04-11
73,2019-04-25
74,2019-05-09
75,2019-05-23
76,2019-06-06
77,2019-06-20
78,2019-07-04
79,2019-07-18
80,2019-08-01
81,2019-08-15
82,2019-08-29
83,2019-09-12
84,2019-09-26
85,2019-10-10
86,2019-10-24
87,2019-11-07
88,2019-11-21
89,2019-12-05
90,2019-12-19
91,2020-01-02
92,2020-01-16
93,2020-01-30
94,2020-02-13
95,2020-02-27
96,2020-03-12
97,2020-03-26
98,2020-04-09
99,2020-04-23
100,2020-05-07
101,2020-05-21
102,2020-06-04
103,2020-06-18
104,2020-07-02
105,2020-07-16
106,2020-07-30
107,2020-08-13
108,2020-08-27
109,2020-09-10
110,2020-09-24
111,2020-10-08
112,2020-10-22
113,2020-11-05
114,2020-11-19
115,2020-12-03
116,2020-12-17
117,2020-12-31
118,2021-01-14
119,2021-01-28
120,2021-02-11
121,2021-02-25
122,2021-03-11
123,2021-03-25
124,2021-04-08
125,2021-04-22
126,2021-05-06
127,2021-05-20
128,2021-06-03
129,2021-06-17
130,2021-07-01
131,2021-07-15
132,2021-07-29
133,2021-08-12
134,2021-08-26
135,2021-09-09
136,2021-09-23
137,2021-10-07
138,2021-10-21
139,2021-11-04
140,2021-11-18
141,2021-12-02
142,2021-12-16
143,2021-12-30
144,2022-01-13
145,2022-01-27
146,2022-02-10
147,2022-02-24
148,2022-03-10
149,2022-03-24
150,2022-04-07
151,2022-04-21
152,2022-05-05
153,2022-05-19
154,2022-06-02
155,2022-06-16
156,2022-06-30
157,2022-07-14
158,2022-07-28
159,2022-08-11
160,2022-08-25
161,2022-09-08
162,2022-09-22
163,2022-10-06
164,2022-10-20
165,2022-11-03
166,2022-11-17
167,2022-12-01
168,2022-12-15
169,2022-12-29
170,2023-01-12
171,2023-01-26
172,2023-02-09
173,2023-02-23
174,2023-03-09
175,2023-03-23
176,2023-04-06
177,2023-04-20
178,2023-05-04
179,2023-05-18
180,2023-06-01
181,2023-06-15
182,2023-06-29
