code,usyd,unsw 
A1,69397,70381 
A2,73359,74103 
A3,77319,77863 
A4,81290,81624 
A5,84514,84681 
A6,87732,87735 
A7,90953,90790 
A8,94174,93840 
B1,99138,98546 
B2,102853,102068 
B3,106573,105589 
B4,110293,109121 
B5,114003,112643 
B6,117724,116171 
C1,121439,119693 
C2,125157,123219 
C3,128871,126741 
C4,132592,130269 
C5,136304,133791 
C6,140028,137320 
D1,146222,143195 
D2,151179,147891 
D3,156135,152590 
D4,161087,157290 
E,188354,183144 
HEO1.1,50005,47854 
HEO1.2,51048,49116 
HEO1.3,52098,50373 
HEO2.1,53664,51706 
HEO2.2,55234,53011 
HEO3.1,56278,54595 
HEO3.2,57837,56178 
HEO3.3,59406,57759 
HEO3.4,60981,59341 
HEO3.5,62546,60920 
HEO4.1,64113,62644 
HEO4.2,65682,64361 
HEO4.3,67770,66083 
HEO5.1,69338,68330 
HEO5.2,71428,70574 
HEO5.3,73511,72822 
HEO5.4,75606,75067 
HEO5.5,77694,77318 
HEO6.2,81872,79999 
HEO6.3,83963,82652 
HEO6.4,86050,85340 
HEO7.1,87619,87747 
HEO7.2,90231,90154 
HEO7.3,92847,92561 
HEO7.4,95456,94967 
HEO8.1,98071,98087 
HEO8.2,101199,101185 
HEO8.3,104338,104301 
HEO8.4,107469,107398 
HEO8.5,110602,110515 
HEO9.1,113733,113999 
HEO9.2,116873,117485 
HEO9.3,120006,120966 
HEO10,121574,124333 
P01,329.67,327.13 
P02,263.75,261.71 
P03,197.81,196.29 
P04,131.88,130.86 
TU1,168.73,168.71 
TU2,141.08,142.50 
TU3,112.54,112.48 
TU4,94.07,95.00 
A01/DE1,56.26,56.23 
A02/DE2,47.06,47.49 
M03,65.96,65.43 
M04,56.26,56.23 
M05,47.06,47.49 
